Team,Win, Total points ,Win percent, Wins , Losses ,,,,,,,
 Hawks ,1,95,0.793103448,46,12,,,Win, Total points ,Win percent, Wins , Losses 
 Magic ,0,88,0.316666667,19,41,,Win,1,,,,
 Nets ,1,117,0.46835443,37,42,, Total points ,0.563363798,1,,,
 Wizards ,0,80,0.569620253,45,34,,Win percent,0.406932023,0.223641111,1,,
 Wizards ,0,98,0.475,19,21,, Wins ,0.259720682,0.12979386,0.556503384,1,
 Trail Blazers ,1,108,0.431818182,19,25,, Losses ,-0.247419996,-0.257412809,-0.571581011,0.276396367,1
 Nets ,0,103,0.163636364,9,46,,,,,,,
 Grizzlies ,1,112,0.596491228,34,23,,行标签,平均值项: Total points ,方差项: Total points 2,行标签,平均值项:Win,平均值项:Win percent
 Grizzlies ,1,102,0.725,29,11,, Hawks ,107.5,55.1, Hawks ,1,0.640998445
 Trail Blazers ,0,98,0.731707317,30,11,, Grizzlies ,105.2,21.7, Grizzlies ,0.8,0.624069147
 Grizzlies ,1,108,0.565217391,26,20,, Trail Blazers ,104.1666667,87.76666667, Trail Blazers ,0.666666667,0.54337175
 Magic ,0,102,0.465116279,20,23,, Nets ,103.5,132.7, Wizards ,0.4,0.460243699
 Trail Blazers ,1,97,0.666666667,6,3,, Wizards ,98,213.5, Nets ,0.333333333,0.358306255
 Nets ,0,87,0.5,4,4,, Knicks ,95.5,185.1, Magic ,0.333333333,0.447605197
 Nets ,0,111,0.454545455,35,42,, Magic ,92.33333333,50.66666667, Knicks ,0,0.353688521
 Hawks ,1,114,0.756410256,59,19,,总计,100.85,118.2846154,总计,0.5,0.487134631
 Hawks ,1,106,0.5,1,1,,,,,,,
 Wizards ,0,90,0.5,1,1,,,,,,,
 Knicks ,0,107,0.428571429,18,24,,,,,,,
 Hawks ,1,108,0.585365854,24,17,,,,,,,
 Nets ,1,110,0.282051282,11,28,,,,,,,
 Knicks ,0,104,0.487804878,20,21,,,,,,,
 Magic ,1,89,0.303571429,17,39,,,,,,,
 Knicks ,0,83,0.188679245,10,43,,,,,,,
 Wizards ,1,119,0.272727273,3,8,,,,,,,
 Knicks ,0,112,0.416666667,5,7,,,,,,,
 Hawks ,1,106,0.6,18,12,,,,,,,
 Trail Blazers ,0,97,0.366666667,11,19,,,,,,,
 Knicks ,0,82,0.197183099,14,57,,,,,,,
 Grizzlies ,1,103,0.704225352,50,21,,,,,,,
 Magic ,1,100,0.59375,19,13,,,,,,,
 Nets ,0,93,0.28125,9,23,,,,,,,
 Trail Blazers ,1,121,0.52238806,35,32,,,,,,,
 Magic ,0,84,0.430769231,28,37,,,,,,,
 Hawks ,1,116,0.611111111,11,7,,,,,,,
 Grizzlies ,0,101,0.529411765,9,8,,,,,,,
 Wizards ,1,103,0.483870968,15,16,,,,,,,
 Magic ,0,91,0.575757576,19,14,,,,,,,
 Knicks ,0,85,0.403225806,25,37,,,,,,,
 Trail Blazers ,1,104,0.540983607,33,28,,,,,,,
